Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
IFBD,5.42,8.6 M,0.0,"3,693",0.0,1.05
IGC,8.0524,28 M,1893.0,"618,788",1893.0,.2675
IGCRF,0.0,36 M,0.0,500,0.0,.4570
IHT,7.93,15 M,1.0,"18,430",1.0,1.575
ILAG,0.0,7 M,0.0,490,0.0,3.38
ILLR,9.59,20 M,22268.0,60,22268.0,1.135
IMNN,6.33,6.8 M,3891.0,"39,335",3891.0,1.63
IMRN,10.57,8.9 M,0.0,"23,326",0.0,1.10
INAB,5.4285,9.6 M,159.0,"67,434",159.0,.9759
INBS,4.62,4.7 M,2972.0,"40,449",2972.0,1.96
INEO,6.4622,10 M,0.0,"8,711",0.0,.6178
INEOF,22.745,3.8 M,0.0,"116,000",0.0,.0726
INHD,21.67,30 M,858101.0,"2,166,135",866608.0,6.63
INLF,11.35,5.9 M,315984.0,"1,040,868",322034.0,5.60
INLX,0.0,24 M,0.0,83,0.0,5.38
INM,11.08,7.5 M,3552.0,"130,835",3552.0,1.41
INTJ,16.39,5 M,750.0,"8,980",750.0,3.23
INTS,4.82,12 M,471.0,"14,575",471.0,4.29
INTZ,6.8316,17 M,6163.0,"195,045",6163.0,.7581
INUV,6.34,17 M,7461.0,"230,996",9693.0,1.0200
IOTR,8.99,13 M,0.0,"9,241",0.0,2.71
IPDN,10.3575,4.9 M,194.0,"65,804",194.0,.3853
IPM,5.21,25 M,0.0,"4,227",0.0,1.93
IQST,16.2,7.9 M,31403.0,"1,515,015",31403.0,1.17
IRIX,11.6111,15 M,509.0,"66,681",509.0,.8419
ISPC,9.17,3.2 M,7122.0,"67,517",7122.0,2.24
ITOC,2.3776,4.9 M,2600.0,"18,925",2600.0,.2882
ITP,7.3512,3 M,8231.0,"221,495",8231.0,.1785
IVDA,9.6552,3.5 M,17907.0,"379,779",20321.0,.3000
IXHL,4.17,39 M,3516.0,"85,034",3516.0,3.23
IZM,12.3503,3 M,2100.0,"90,333",2100.0,.2516
JAGU,5.45,35 M,1275.0,"49,102",1275.0,1.72
JAGX,21.6058,4.1 M,3637.0,"218,153",3637.0,.8344
JBDI,4.69,13 M,1338.0,"4,494",1338.0,1.33
JCSE,11.99,7.8 M,0.0,"19,792",0.0,1.49
JCTC,8.65,11 M,1.0,"11,973",1.0,3.09
JDZG,24.49,15 M,5312.0,"132,606",5818.0,2.81
JF,8.8889,18 M,0.0,"14,800",0.0,.9798
JFU,6.83,28 M,0.0,"1,098",0.0,2.38
JG,12.87,29 M,0.0,"2,165",0.0,4.91
JL,11.71,20 M,0.0,"6,579",0.0,5.25
JOB,2.6933,22 M,200.0,"298,465",200.0,.2011
JSPR,14.5091,27 M,4940.0,"613,169",7940.0,.799400
JUNS,9.49,4.1 M,1530.0,"39,846",1730.0,5.31
JVA,1.73,20 M,1290.0,"26,510",1290.0,3.48
JYD,13.3207,8.2 M,302.0,"81,509",302.0,.9877
JZ,13.42,5.9 M,6350.0,"52,175",6350.0,2.43
KALA,12.8559,15 M,793.0,"124,514",793.0,.7550
